"hematology",1,"CML","慢性骨髄性白血病","Chronic Myelogenous Leukemia, Bcr/Abl  Positive",10,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",2,"CNL","慢性好中球性白血病","Chronic Neutrophilic Leukemia",20,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",3,"PV","真性赤血球増加症","Polycythemia Vera",30,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",4,"MF","原発性骨髄線維症","Primary Myelofibrosis",40,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",5,"ET","本態性血小板血症","Essential Thrombocythemia",50,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",6,"CEL","慢性好酸球性白血病","Chronic Eosinophilic Leukaemia, Not Otherwise Specified",60,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",7,"CM","皮膚肥満細胞症","Cutaneous Mastocytosis",70,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",8,"SM","全身性肥満細胞症","Systemic Mastocytosis",80,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",9,"MCL","肥満細胞性白血病","Mast Cell Leukemia",90,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",10,"MCS","肥満細胞肉腫","Mast Cell Sarcoma",100,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",11,"Extracutaneous mastocytoma","皮膚外肥満細胞腫","Extracutaneous Mastocytoma",110,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",12,"MPD","その他の骨髄増殖性疾患","Myeloproliferative Disease, Unclassifiable",120,1,"MPN","骨髄増殖性腫瘍","Myeloproliferetive Neoplasms","tumor",1
"hematology",13,"PDGFRA","ＰＤＧＦＲＡ再構成骨髄性・リンパ性腫瘍","Myeloid And Lymphoid Neoplasms With Pdgfra Rearrangement",130,2,,"PDGFRA、PDGFRB、FGFR1異常症","Myeloid And Lymphoid Neoplasms With Eosinophilia And Abnormalities Of Pdgfra, Pdgfrb Or Fgfr1","tumor",2
"hematology",14,"PDGFRB","ＰＤＧＦＲＢ再構成骨髄性腫瘍","Myeloid Neoplasms With Pdgfrb Rearrangement",140,2,,"PDGFRA、PDGFRB、FGFR1異常症","Myeloid And Lymphoid Neoplasms With Eosinophilia And Abnormalities Of Pdgfra, Pdgfrb Or Fgfr1","tumor",2
"hematology",15,"FGFR1","ＦＧＦＲ１異常骨髄性・リンパ性腫瘍","Myeloid And Lymphoid Neoplasms With Fgfr1 Rearrangement",150,2,,"PDGFRA、PDGFRB、FGFR1異常症","Myeloid And Lymphoid Neoplasms With Eosinophilia And Abnormalities Of Pdgfra, Pdgfrb Or Fgfr1","tumor",2
"hematology",16,"CMMoL","慢性骨髄単球性白血病","Chronic Myelomonocytic Leukemia, Nos",160,3,"MDS/MPN","骨髄異形成・骨髄増殖性腫瘍","Myelodysplastic/Myeloproliferative Neoplasms","tumor",3
"hematology",17,"aCML","非定型慢性骨髄性白血病","Atypical Chronic Myeloid Leukemia, Bcr/Abl Negative",170,3,"MDS/MPN","骨髄異形成・骨髄増殖性腫瘍","Myelodysplastic/Myeloproliferative Neoplasms","tumor",3
"hematology",18,"JMMoL","若年性骨髄単球性白血病","Juvenile Myelomonocytic Leukemia",180,3,"MDS/MPN","骨髄異形成・骨髄増殖性腫瘍","Myelodysplastic/Myeloproliferative Neoplasms","tumor",3
"hematology",19,"MDS/MPN","その他の骨髄異形成・増殖性腫瘍","Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable",190,3,"MDS/MPN","骨髄異形成・骨髄増殖性腫瘍","Myelodysplastic/Myeloproliferative Neoplasms","tumor",3
"hematology",20,"RARS-T","骨髄異形成症候群（ＲＡＲＳ）・血小板血症","Refractory Anemia With Sideroblasts Associated With Marked Thrombocytosis",200,3,"MDS/MPN","骨髄異形成・骨髄増殖性腫瘍","Myelodysplastic/Myeloproliferative Neoplasms","tumor",3
"hematology",21,"MDS(RA)","不応性貧血","Refractory Anemia",210,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",22,"RN","不応性好中球減少症","Refractory Neutropenia",220,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",23,"RT","不応性血小板減少症","Refractory Thrombocytopenia",230,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",24,"MDS(RARS)","環状鉄芽球を伴う不応性貧血","Refractory Anemia With Ring Sideroblasts",240,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",25,"MDS(RCMD)","多血球系異形成を伴う不応性血球減少症","Refractory Cytopenia With Multilineage Dysplasia",250,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",26,"MDS(RAEB)","芽球増加を伴う不応性貧血","Refractory Anemia With Excess Blasts",260,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",27,"MDS(5q-)","５ｑ－症候群","Myelodysplastic Syndrome Associated With Isolated Del(5q )",270,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",28,"MDS-U","分類不能型骨髄異形成症候群","Myelodysplastic Syndrome, Unclassifiable",280,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",29,"RCC","小児不応性血球減少症","Refractory Cytopenia Of Childhood",290,4,"MDS","骨髄異形成症候群","Myelodysplastic Syndromes","tumor",4
"hematology",30,"AML(RUNX1-RUNX1T1)","ＲＵＮＸ１－ＲＵＮＸ１Ｔ１陽性急性骨髄性白血病","Aml With T(8;21)(Q22;Q22); Runx1 Runx1 T1",300,5,"AML","急性骨髄性白血病および関連腫瘍","Acute Myeloid Leukemia (Aml) And Related Precursor Neoplasms","tumor",5
